type,GEODB_OID,GEODB_SUBT,OBJECTID,ASSET_ID,AM_OWNER,AM_OWNER_R,AM_DEPT,AM_DEPT_RE,AM_DATE,AM_MATERIA,AM_SIZE,AM_TYPE,AM_ESTIMAT,DRAW_TYPE,DRAW_TYPE_,COMMENTS,BLDG_ID,FACILITY_N,FACILITY_I,MET_INPUT,MET_TECH,MET_TECH_R,MET_OVR_BY,MET_OVR_TY,ENABLED,ENABLED_RE,ANCILLARYR,ANCILLAR00,GLOBALID,geo_type,first,second,geometry/coordinates/2
Feature,27,PUMP STATION,27,BLDG23354,DNV,DISTRICT OF NORTH VANCOUVER,,,,,,1,,CONSTRUCTION,CONSTRUCTION,,,,,8-Apr,K STORM,K STORM,,,1,TRUE,0,None,{51E120E0-230C-4FD7-A767-72FD29B73E65},Point,493070.8846,5467467.136,0
Feature,28,PUMP STATION,28,BLDG23388,GVRD,GREATER VANCOUVER REGIONAL DISTRICT,,,,,,1,,CONSTRUCTION,CONSTRUCTION,,BLDG23388,CAPILNANO PUMP STATION,,13-Jun,K STORM,K STORM,,,1,TRUE,0,None,{782D5CED-36B8-4E41-A165-7A6ABBBD93AA},Point,491949.7544,5467266.249,0
Feature,29,PUMP STATION,29,BLDG23355,GVRD,GREATER VANCOUVER REGIONAL DISTRICT,,,,,,1,,NO DRAWING,NO DRAWING,,BLDG23355,GLENMORE PUMP STATION,,13-Jun,K STORM,K STORM,,,1,TRUE,0,None,{7468703F-6007-45B1-BBDD-C96997B51FED},Point,491494.6332,5467547.105,0
Feature,30,PUMP STATION,30,BLDG23358,DNV,DISTRICT OF NORTH VANCOUVER,,,,,,1,,ASBUILT,ASBUILT,,BLDG23358,RAMSEY PUMP STATION,,13-Jun,K STORM,K STORM,,,1,TRUE,0,None,{D254C757-D3A6-4CCB-AB30-B838738F6E36},Point,497584.4633,5466950.682,0
Feature,31,PUMP STATION,31,BLDG23356,DNV,DISTRICT OF NORTH VANCOUVER,,,,,,1,,CONSTRUCTION,CONSTRUCTION,,BLDG23356,HYANNIS PUMP STATION,,13-Jun,K STORM,K STORM,,,1,TRUE,0,None,{6E93E3C8-59AA-488C-B4A9-A374CDBB1B0C},Point,500705.6228,5463537.511,0
Feature,32,PUMP STATION,32,BLDG23359,DNV,DISTRICT OF NORTH VANCOUVER,,,,,,1,,CONSTRUCTION,CONSTRUCTION,,BLDG23359,WOODLANDS SUNSHINE PUMP STATION,,13-Jun,K STORM,K STORM,,,1,TRUE,0,None,{FABF3C3B-222C-4F7F-B8B2-3F0E526BC036},Point,502666.7499,5463599.521,0
Feature,33,PUMP STATION,33,BLDG23357,DNV,DISTRICT OF NORTH VANCOUVER,,,,,,1,,CONSTRUCTION,CONSTRUCTION,,BLDG23357,SKYLINE PUMP STATION,,13-Jun,K STORM,K STORM,,,1,TRUE,0,None,{AC639545-7C9F-4DEC-86F3-79903A65D7E8},Point,493736.088,5467164.092,0
Feature,34,PUMP STATION,34,BLDG03280,DNV,DISTRICT OF NORTH VANCOUVER,,,,,,1,,CONSTRUCTION,CONSTRUCTION,,BLDG03280,MARION (LYNN VALLEY) PUMP STATION,,13-Jun,K STORM,K STORM,,,1,TRUE,0,None,{82BA410E-817A-46DF-BD2A-59B6038BAF42},Point,498495.754,5466344.184,0
Feature,35,PUMP STATION,35,BLDG16391,DNV,DISTRICT OF NORTH VANCOUVER,,,,,,1,,CONSTRUCTION,CONSTRUCTION,,BLDG16391,NORTHLANDS PUMP STATION,,13-Jun,K STORM,K STORM,,,1,TRUE,0,None,{76835E16-DB4D-4817-BDA1-10DAFC1743EB},Point,501261.5569,5463168.37,0
Feature,36,TREATMENT PLANT,36,BLDG23389,GVRD,GREATER VANCOUVER REGIONAL DISTRICT,,,,,,2,,CONSTRUCTION,CONSTRUCTION,,BLDG23389,CAPILANO CHLORINATION HOUSE,,13-Jun,K STORM,K STORM,,,1,TRUE,0,None,{D233E839-0DBE-4D2C-83D3-1A5356861F31},Point,491990.973,5467374.925,0
